date,INR
10/03/2019,69.9977 INR
9/03/2019,70.0041 INR
8/03/2019,70.0203 INR
7/03/2019,70.2056 INR
6/03/2019,70.0802 INR
5/03/2019,70.4987 INR
4/03/2019,70.9108 INR
3/03/2019,71.0002 INR
2/03/2019,71.0014 INR
1/03/2019,70.999 INR
28/02/2019,70.8181 INR
27/02/2019,71.2032 INR
26/02/2019,70.9445 INR
25/02/2019,70.8335 INR
24/02/2019,71.0423 INR
23/02/2019,71.0326 INR
22/02/2019,71.036 INR
21/02/2019,71.1965 INR
20/02/2019,71.0567 INR
19/02/2019,71.2958 INR
18/02/2019,71.3846 INR
17/02/2019,71.329 INR
16/02/2019,71.3307 INR
15/02/2019,71.3355 INR
14/02/2019,71.02 INR
13/02/2019,70.8751 INR
12/02/2019,70.5529 INR
11/02/2019,71.2372 INR
10/02/2019,71.1595 INR
9/02/2019,71.1599 INR
8/02/2019,71.1598 INR
7/02/2019,71.3028 INR
6/02/2019,71.5535 INR
5/02/2019,71.5259 INR
4/02/2019,71.6966 INR
3/02/2019,71.4608 INR
2/02/2019,71.4638 INR
1/02/2019,71.4638 INR
31/01/2019,70.96 INR
30/01/2019,71.1302 INR
29/01/2019,71.431 INR
28/01/2019,71.1009 INR
27/01/2019,70.9862 INR
26/01/2019,70.9773 INR
25/01/2019,70.9848 INR
24/01/2019,71.0008 INR
23/01/2019,71.1604 INR
22/01/2019,71.2378 INR
21/01/2019,71.196 INR
20/01/2019,71.2402 INR
19/01/2019,71.2518 INR
18/01/2019,71.2518 INR
17/01/2019,71.0414 INR
16/01/2019,71.0774 INR
15/01/2019,71.1025 INR
14/01/2019,70.7939 INR
13/01/2019,70.378 INR
12/01/2019,70.3791 INR
11/01/2019,70.3828 INR
10/01/2019,70.4213 INR
9/01/2019,70.5598 INR
8/01/2019,70.1349 INR
7/01/2019,69.825 INR
6/01/2019,69.5377 INR
5/01/2019,69.5311 INR
4/01/2019,69.5271 INR
3/01/2019,70.1096 INR
2/01/2019,69.9924 INR
1/01/2019,69.74 INR
31/12/2018,69.5661 INR
30/12/2018,69.9125 INR
29/12/2018,69.925 INR
28/12/2018,69.925 INR
27/12/2018,69.9969 INR
26/12/2018,70.1549 INR
25/12/2018,70.1241 INR
24/12/2018,70.1207 INR
23/12/2018,70.1384 INR
22/12/2018,70.1507 INR
21/12/2018,70.141 INR
20/12/2018,70.089 INR
19/12/2018,70.6956 INR
18/12/2018,70.4942 INR
17/12/2018,71.5933 INR
16/12/2018,71.9222 INR
15/12/2018,71.9639 INR
14/12/2018,71.9639 INR
13/12/2018,71.5275 INR
12/12/2018,71.8411 INR
11/12/2018,72.3328 INR
10/12/2018,72.5164 INR
9/12/2018,71.3722 INR
8/12/2018,71.3751 INR
7/12/2018,71.3751 INR
6/12/2018,70.5635 INR
5/12/2018,70.6525 INR
4/12/2018,70.6403 INR
3/12/2018,70.4822 INR
2/12/2018,69.7703 INR
1/12/2018,69.6475 INR
30/11/2018,69.7196 INR
29/11/2018,69.9347 INR
28/11/2018,70.61 INR
27/11/2018,70.8961 INR
26/11/2018,70.8193 INR
25/11/2018,70.6471 INR
24/11/2018,70.576 INR
23/11/2018,70.6765 INR
22/11/2018,70.8422 INR
21/11/2018,71.1775 INR
20/11/2018,71.4225 INR
19/11/2018,71.7017 INR
18/11/2018,71.785 INR
17/11/2018,71.9807 INR
16/11/2018,71.7846 INR
15/11/2018,71.9011 INR
14/11/2018,72.3784 INR
13/11/2018,72.5632 INR
12/11/2018,72.9286 INR
11/11/2018,72.5471 INR
10/11/2018,72.4812 INR
9/11/2018,72.48 INR
